Mission,Launch site / base (or coordinates),Destination station,Launch (UTC),Mission duration,Landing site (or coordinates),Rocket type,Source URL
STS-43,"Kennedy , LC-39A",,"August 2, 1991, 15:02:00 ( 1991-08-02UTC15:02Z ) UTC (11:02 am EDT )","8 days, 21 hours, 21 minutes, 25 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-43
STS-22,,,,,,,
Spacelab-2,,,,,,,
STS-38,"Kennedy , LC-39A",,"November 15, 1990, 23:48:15 ( 1990-11-15UTC23:48:15Z ) UTC (6:48:15 pm EST )","4 days, 21 hours, 54 minutes, 31 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-38
Soyuz 4,"Baikonur , Site 31/6",,"14 January 1969, 07:30:00 GMT",2 days 23 hours 20 minutes 47 seconds,"100 km at the southwest of Karaganda , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%204
Soyuz 10,Baikonur 1/5,,"22 April 1971, 23:54:06 GMT","1 day, 23 hours and 46 minutes","120 km northeast of Karaganda , Kazakhstan",Soyuz 11A511,https://en.wikipedia.org/wiki/Soyuz%2010
STS-57,"Kennedy , LC-39B",,"June 21, 1993, 13:07:22 ( 1993-06-21UTC13:07:22Z ) UTC (9:07:22 am EDT )","9 days, 23 hours, 44 minutes, 54 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-57
STS-50,"Kennedy , LC-39A",,"June 25, 1992, 16:12:23 ( 1992-06-25UTC16:12:23Z ) UTC (12:12:23 pm EDT )","13 days, 19 hours, 30 minutes, 4 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-50
STS-89,"Kennedy , LC-39A",,"23 January 1998, 02:48:15 ( 1998-01-23UTC02:48:15Z ) UTC","8 days, 19 hours, 48 minutes, 4 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-89
STS-61B Atlantis,,,,,,,
STS-40 Columbia,,,,,,,
STS-74,"Kennedy , LC-39A",,"12 November 1995, 12:30:43.071 ( 1995-11-12UTC12:30:43Z ) UTC","8 days, 04 hours, 31 minutes, 42 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-74
STS-88,"Kennedy , LC-39A",,"4 December 1998, 08:35:34 ( 1998-12-04UTC08:35:34Z ) UTC","11 days, 19 hours, 18 minutes, 47 seconds.","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-88
STS-110,"Kennedy , LC-39B",,8 April 2002 20:44:19 ( 2002-04-08UTC20:44:19Z ) UTC,"10 days, 19 hours, 43 minutes, 38 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-110
STS-60,"Kennedy , LC-39A",,"February 3, 1994, 12:10:00 UTC","8 days, 7 hours, 9 minutes, 22 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-60
STS-91,"Kennedy , LC-39A",,"2 June 1998, 22:06:24 ( 1998-06-02UTC22:06:24Z ) UTC","9 days, 19 hours, 54 minutes, 2 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-91
STS-111,"Kennedy , LC-39A",,5 June 2002 21:22:49 ( 2002-06-05UTC21:22:49Z ) UTC,"13 days, 20 hours, 35 minutes, 56 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-111
STS-51L,,,,,,,
